"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"LCA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.657","88.9",".",".","",".",".","11.1",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","19","3.805","78.9","5.3","15.8","",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","17","3.387","58.8","5.9","17.6","",".","11.8","5.9",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","48","3.523","70.8","4.2","14.6","",".","4.2","4.2","2.1",".","",".",".","",".","",".","",".",".",".","."
"Special","","","4","***","","","","","","","","","","","",".","",".","",".","",".",".","50.0","."
"Graduate","","","10","4.000","30.0",".",".","",".",".",".",".","70.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","62","3.544","61.3","3.2","11.3","",".","3.2","3.2","1.6","12.9","",".",".","",".","",".","",".",".","3.2","."
