"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Electronic Circuits I","Course Total","120","3.163","21.7","26.7","30.0","12.5","5.8","3.3",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","001
342","75","3.473","36.0","40.0","14.7","6.7","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","352
001","82","3.262","23.2","40.2","17.1","7.3","11.0","1.2",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","78","3.365","19.2","51.3","16.7","9.0","3.8",".",".",".",".",".",".",".",".",".",".","."
"","354
001","31","3.350","29.0","32.3","19.4","9.7","6.5",".",".",".",".",".",".",".","3.2",".",".","."
"","354
002","51","3.284","29.4","29.4","17.6","15.7","7.8",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","82","3.309","29.3","30.5","18.3","13.4","7.3",".",".",".",".",".",".",".","1.2",".",".","."
"","355
002","26","3.500","26.9","53.8","15.4",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","355
003","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","34","3.500","29.4","47.1","20.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","370
001","18","3.806","72.2","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","64","3.875","78.1","20.3",".","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","84","3.351","38.1","17.9","27.4","9.5","7.1",".",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","88","3.688","53.4","36.4","8.0","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"Topics-Elect&Computer Engr","379
001","43","3.643","58.1","16.3","18.6","2.3","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
099","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","31","3.905","83.9","6.5","6.5",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Electroacoustical Engr","401
001","58","3.698","60.3","29.3","8.6",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"","412
001","62","3.395","38.7","27.4","14.5","12.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"","412
003","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","80","3.519","51.3","21.3","12.5","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","20","3.525","50.0","20.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434
001","13","3.667","69.2",".","15.4",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","8","3.250","25.0",".","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems II","437
001","9","3.556","66.7",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
