"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","16","2.967","6.3","18.8","37.5","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"326
Plant Nutrition Management","001","","13","3.115","23.1","23.1","38.5",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"334
Greenhouse Cultivation","001","","25","3.458","56.0","20.0","4.0","4.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"335","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"335","002","","10","3.444","60.0",".","10.0",".","20.0",".",".","10.0",".",".",".",".",".",".",".","."
"Greenhouse Cultivation Lab","Course Total","","25","3.771","80.0","4.0","4.0",".","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360
GM Crops:Sci,Reg,Controversy","001","","11","3.000","27.3",".","54.5",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"372
Colloquium-Organic Agriculture","001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","11","3.550","27.3","45.5","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"375","004","","17","3.294","47.1","11.8","23.5",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"375","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","008","","12","3.500","58.3","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","41","3.410","46.3","26.8","14.6",".","4.9","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"501
Principles-Plant Breeding","001","","13","3.125","30.8","15.4","7.7","23.1","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","7","3.417","14.3","42.9","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"615
Genetic Mapping","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875","004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","005","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","008","","11","3.944","72.7","9.1",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","44","3.963","90.9","4.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","","Page 30 of 423"
