"BIOLOGICAL SYSTEMS ENGINEESection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"170
Product Design Practicum","001","","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"308
Career Management-Engineers","001","","80","",".",".",".",".",".",".",".",".",".","95.0","2.5",".",".",".",".","."
"349
Quant Technqs-Biological Systm","001","","68","2.684","8.8","17.6","35.3","13.2","10.3","11.8","2.9",".",".",".",".",".",".",".",".","."
"364
Engr Prop-Food & Biol Matls","001","","25","3.125","12.0","20.0","48.0","12.0","4.0",".",".",".",".",".",".",".",".","4.0",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","69","2.877","8.7","13.0","37.7","26.1","14.5",".",".",".",".",".",".",".",".",".",".","."
"367","001","","59","3.212","30.5","20.3","30.5","1.7","15.3","1.7",".",".",".",".",".",".",".",".",".","."
"367","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","63","3.238","31.7","20.6","30.2","1.6","14.3","1.6",".",".",".",".",".",".",".",".",".","."
"464
Heat and Mass Transfer","001","","32","3.094","9.4","40.6","28.1","9.4","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","28","3.278","21.4","28.6","28.6","17.9",".",".",".","3.6",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","29","2.914","3.4","13.8","58.6","10.3","13.8",".",".",".",".",".",".",".",".",".",".","."
"508
Biol Sys Engr Dsgn Practicum I","002","","66","3.867","80.3","9.1","6.1","1.5",".",".",".",".",".",".",".",".","3.0",".",".","."
"571
Small Watershed Engineering","001","","30","2.867","13.3","26.7","13.3","20.0","23.3","3.3",".",".",".",".",".",".",".",".",".","."
"642
Food & Phmaceut Separations","001","","31","3.113","22.6","9.7","58.1",".","3.2","6.5",".",".",".",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Graduate Research Seminar","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","26","",".",".",".",".",".",".",".","11.5",".",".",".","88.5",".",".",".","."
