"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"","299
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Zoology","300
001","","70","3.457","64.3","7.1","11.4","4.3","7.1","4.3","1.4",".",".",".",".",".",".",".",".","."
"","301
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Zoology Lab","Course Total","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Parasitology","350
001","","43","2.690","23.3",".","27.9","9.3","30.2","2.3","4.7","2.3",".",".",".",".",".",".",".","."
"Medical Entomology","371
001","","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","","17","3.313","47.1","11.8","23.5",".","5.9",".","5.9",".",".",".",".",".",".",".",".","5.9"
"","400
003","","31","3.500","45.2","25.8","16.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"","400
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","Course Total","","49","3.438","44.9","22.4","18.4","6.1","4.1",".","2.0",".",".",".",".",".",".",".",".","2.0"
"Evolutionary Biology","410
001","","43","3.372","37.2","23.3","25.6","9.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"General Ecology","460
001","","31","2.952","6.5","32.3","38.7","9.7","6.5","3.2","3.2",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","","87","2.966","21.8","11.5","31.0","13.8","19.5","2.3",".",".",".",".",".",".",".",".",".","."
"Undergrad Neurobiology Seminar","500
001","","122","3.926","89.3","6.6","2.5",".","0.8",".",".",".",".",".",".",".","0.8",".",".","."
"Ecology of Fishes","510
001","","52","3.290","30.8","17.3","32.7","7.7","7.7",".",".",".",".",".",".",".","1.9",".",".","1.9"
"","511
001","","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","29","3.759","69.0","20.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","520
001","","56","3.216","25.0","17.9","16.1","16.1",".","1.8","1.8","19.6",".",".",".",".","1.8",".",".","."
"","521
001","","13","3.389","38.5","7.7",".","15.4","7.7",".",".","30.8",".",".",".",".",".",".",".","."
"","521
002","","11","3.600","45.5","36.4",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","521
003","","9","3.188","22.2","22.2","11.1","33.3",".",".",".","11.1",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","33","3.407","36.4","21.2","3.0","15.2","6.1",".",".","18.2",".",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparatv&Evolutionry Physiol","611
001","","37","3.147","27.0","8.1","37.8","8.1","8.1","2.7",".",".",".",".",".",".","8.1",".",".","."
"Molecular Ecology","624
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurodevelopmental Disease","655
001","","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ecology","677
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 338 of 423",""
