"ENGR MECHANICS & ASTRONAUSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private Pilot II","120
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","170","2.846","20.0","20.0","21.8","17.6","5.9","11.8","2.4",".",".",".",".",".","0.6",".",".","."
"","002
201","151","2.790","16.6","24.5","22.5","11.9","9.3","9.3","5.3",".",".",".",".",".","0.7",".",".","."
"Statics","Course Total","321","2.820","18.4","22.1","22.1","15.0","7.5","10.6","3.7",".",".",".",".",".","0.6",".",".","."
"Dynamics","202
001","102","3.228","25.5","21.6","30.4","15.7","5.9",".",".",".",".",".",".",".",".",".",".","1.0"
"Mechanics of Materials","303
001","124","3.101","24.2","20.2","30.6","9.7","11.3","4.0",".",".",".",".",".",".",".",".",".","."
"","307
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
011","8","3.063","25.0","12.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
012","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","13","3.154","15.4","23.1","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","92","3.337","30.4","23.9","31.5","10.9","3.3",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","29","3.357","34.5","17.2","31.0","10.3","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
002","26","3.308","26.9","30.8","26.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Composite Materials","508
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","19","3.395","47.4","15.8","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","20","3.184","10.0","55.0","10.0","10.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","44","2.643","15.9","11.4","15.9","11.4","34.1","4.5","2.3","2.3",".",".",".",".",".","2.3",".","."
"Astrodynamics","550
001","35","2.929","11.4","17.1","31.4","25.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","39","3.218","38.5",".","43.6","2.6","15.4",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","11","3.591","63.6",".","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","599
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","601
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
003","30","3.767","73.3","10.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
