"Summary by Level","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","50.0","",".",".","."
"Undergraduates","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","50.0","",".",".","."
"Special","","3","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","6","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","16","4.000","6.3","",".",".","",".","",".","",".","",".","",".","",".","93.8","",".","",".","",".",".",".","."
"Prof Yr 2","","6","4.000","33.3","",".",".","",".","",".","",".","",".","",".","",".","66.7","",".","",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","","","","50.0","",".","",".","",".",".",".","."
"Prof Yr 4","","11","3.640","45.5","",".","27.3","",".","",".","",".","",".","",".","",".","27.3","",".","",".","",".",".",".","."
"Professionals","","35","3.727","25.7","",".","8.6","",".","",".","",".","",".","",".","",".","65.7","",".","",".","",".",".",".","."
