"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","68","3.949","91.2","7.4","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","72","3.049","15.3","40.3","16.7","8.3","12.5","6.9",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","72","3.028","20.8","19.4","23.6","22.2","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","50","3.010","32.0","8.0","18.0","18.0","22.0","2.0",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","41","2.915","22.0","17.1","26.8","9.8","14.6","9.8",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","39","3.167","28.2","17.9","28.2","10.3","15.4",".",".",".",".",".",".",".",".",".",".","."
"","324","001","","12","3.333","41.7","25.0","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","15","3.333","33.3","33.3","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","13","3.292","30.8","15.4","30.8","7.7","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"Transport Phenomena Lab","","Course Total","","55","3.352","34.5","29.1","16.4","7.3","10.9",".",".",".",".",".",".",".","1.8",".",".","."
"Momentum&Heat Transfer Oper","326","001","","68","3.015","17.6","22.1","17.6","33.8","7.4","1.5",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","39","3.192","17.9","28.2","38.5","5.1","10.3",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","43","3.098","20.9","23.3","14.0","27.9","9.3",".",".",".",".",".",".",".","2.3","2.3",".","."
"Chemical Engineering Matl","440","001","","44","3.045","13.6","15.9","43.2","20.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","82","3.634","65.9","12.2","12.2","2.4","7.3",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","63","2.992","19.0","22.2","23.8","14.3","17.5","3.2",".",".",".",".",".",".",".",".",".","."
"","489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Polymer Sci & Technology","540","001","","29","3.172","34.5",".","44.8","6.9","13.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","21","3.452","33.3","33.3","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","002","","12","3.727","58.3","25.0",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","562","008","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","38","3.883","86.8","7.9",".","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Instrmntl Anal-Chem Engr","575","001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","","Page 115 of 423",""
