"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
015","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","18","3.441","38.9","27.8","5.6","22.2",".",".",".",".",".",".",".",".","5.6",".",".","."
"","226
017","17","3.438","41.2","35.3","11.8",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","249","3.626","53.4","31.7","6.8","3.6","1.6","0.8","0.8","0.8",".",".",".",".","0.4",".",".","."
"Latin America-Introduction","260
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","19","3.842","84.2","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","003
311","19","3.389","31.6","21.1","31.6","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"","311
004","19","3.263","15.8","26.3","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
311","19","3.917","84.2","5.3","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","311
007","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","19","3.500","47.4","15.8","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","311
009","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","173","3.705","63.0","17.3","15.6","1.7","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","001
319","19","3.861","78.9","5.3","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","320
001","22","3.432","36.4","18.2","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","16","3.219","25.0","37.5","12.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".","."
"","003
320","24","3.542","66.7","4.2","12.5","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","62","3.419","45.2","17.7","22.6","8.1","4.8","1.6",".",".",".",".",".",".",".",".",".","."
"Structure of Modern Spanish","321
001","21","3.375","47.6","9.5","19.0","4.8","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"Survey of Early Hispanic Lit","322
001","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","19","3.842","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","25","3.900","88.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","44","3.875","86.4","2.3","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","001
326","19","3.237","47.4","5.3","31.6",".","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","327
001","12","3.583","66.7",".","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Spanish Applied Linguistics","331
001","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Business Area Study","359
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","21","3.810","81.0","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","363
001","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363
002","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","Course Total","42","3.929","88.1","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","43","3.695","62.8","7.0","25.6",".",".",".",".","4.7",".",".",".",".",".",".",".","."
"Culture and the Environment","445
001","18","3.611","61.1","16.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Lit-Twentieth Century","453
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"US Latino Literature","467
001","19","3.579","47.4","31.6","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","468
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Hispanic Cultures","476
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 326 of 423",""
