"Dante's Divine Comedy","253
001","","26","2.900","15.4","15.4","38.5","3.8","15.4","7.7","",".",".","",".","",".",".","",".","","3.8",".",".","."
"Crusades: Christianity & Islam","309
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Chaucer's Canterbury Tales","427
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","30","2.933","13.3","16.7","43.3","3.3","13.3","6.7","",".","",".","",".",".","",".","",".","3.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","","11","2.818","9.1","18.2","54.5",".",".","18.2","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","14","3.000","14.3","14.3","42.9",".","21.4",".","",".","",".","",".",".","",".","",".","7.1",".",".","."
"Undergraduates","","","29","2.895","10.3","17.2","44.8","3.4","13.8","6.9","",".","",".","",".",".","",".","",".","3.4",".",".","."
"Special","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","30","2.933","13.3","16.7","43.3","3.3","13.3","6.7","",".","",".","",".",".","",".","",".","3.3",".",".","."
