"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","247","3.061","27.5","12.6","35.2","6.1","13.4","4.5","0.8",".",".",".",".",".",".",".",".","."
"","102
001","34","3.235","32.4","17.6","32.4","5.9","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"","102
002","37","3.081","21.6","16.2","37.8","10.8","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"","102
003","37","3.324","27.0","27.0","37.8",".","8.1",".",".",".",".",".",".",".",".",".",".","."
"","102
004","22","3.182","31.8","9.1","36.4","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","130","3.208","27.7","18.5","36.2","6.2","10.0","1.5",".",".",".",".",".",".",".",".",".","."
"","299
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
097","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","20","3.910","85.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Biology of Microorganisms","303
001","202","3.153","25.7","17.8","33.2","10.4","9.9","1.5","0.5",".",".",".",".",".","0.5",".","0.5","."
"","304
001","38","3.303","28.9","13.2","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","31","3.161","29.0","19.4","25.8","6.5","19.4",".",".",".",".",".",".",".",".",".",".","."
"","003
304","38","3.184","34.2","5.3","42.1","10.5","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"","304
004","39","3.269","38.5","5.1","41.0","2.6","12.8",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","146","3.233","32.9","10.3","39.7","7.5","8.9",".","0.7",".",".",".",".",".",".",".",".","."
"","305
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
305","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","305
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","43","3.930","93.0","4.7",".",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","31","3.150","29.0","22.6","16.1","12.9","12.9","3.2",".",".",".",".",".",".",".",".","3.2","."
"","375
001","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","375
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","28","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","12","3.333","25.0","33.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","49","3.071","38.8","8.2","28.6","2.0","14.3","4.1","4.1",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","52","2.673","15.4","13.5","19.2","21.2","21.2","5.8","3.8",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","40","3.200","37.5","10.0","32.5",".","17.5","2.5",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
004","20","3.650","55.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
