"ASIAN LANGUAGES AND CULTU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"100
001
Gateway to Asia Special Topics","44","3.488","29.5","52.3","4.5","6.8","4.5",".",".",".",".","",".",".","",".","",".","2.3",".","."
"236
001
Asia Enchanted","40","3.738","65.0","20.0","12.5","2.5",".",".",".",".",".","",".",".","",".","",".",".",".","."
"253
001
Japanese Popular Culture","65","3.408","49.2","23.1","12.3","6.2","4.6","1.5","3.1",".",".","",".",".","",".","",".",".",".","."
"255
001
Intro East Asian Civilizations","9","2.833",".","33.3","44.4",".","11.1","11.1",".",".",".","",".",".","",".","",".",".",".","."
"300
001","51","3.667","66.7","13.7","9.8","5.9","3.9",".",".",".",".","",".",".","",".","",".",".",".","."
"300
002","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".","",".",".","",".","","9.1",".",".","."
"300
003","20","3.605","40.0","35.0","20.0",".",".",".",".","5.0",".","",".",".","",".","",".",".",".","."
"Course Total
Topics in Asian Studies","82","3.656","57.3","22.0","12.2","3.7","2.4",".",".","1.2","",".",".","",".","",".","1.2",".",".","."
"301
001
Social Studies Topics in EAS","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"355
001
Modern Japanese Literature","14","3.636","21.4","57.1",".",".",".",".",".","14.3",".","",".",".","",".","",".","7.1",".","."
"367
001
Haiku","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"403
001
Southeast Asian Literature","23","3.833","78.3","4.3","4.3",".","4.3",".",".",".",".","",".",".","",".","","8.7",".",".","."
"430
001
Indian Traditions Modern Age","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"460
001
The History of Yoga","6","2.750",".","16.7",".",".","16.7",".",".","66.7",".","",".",".","",".","",".",".",".","."
"815
001
Smr:Interdis Approachs to Asia","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"ASIAN
Dept. Total
185","299","3.566","49.8","27.4","10.4","3.7","3.3","0.7","0.7","2.3","",".",".","",".","",".","1.0","0.7",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","18","3.236","22.2","50.0","5.6","16.7",".","5.6",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","65","3.371","35.4","38.5","9.2","4.6","6.2",".","3.1",".","",".",".","",".","",".",".","3.1",".","."
"Junior","76","3.697","63.2","17.1","17.1","2.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","118","3.626","51.7","29.7","9.3","2.5","4.2",".",".","0.8","",".",".","",".","",".","1.7",".",".","."
"Undergraduates","277","3.560","49.1","29.6","11.2","4.0","3.2","0.4","0.7","0.4","",".",".","",".","",".","0.7","0.7",".","."
"Special","10","3.250","30.0",".",".",".",".","10.0",".","60.0","",".",".","",".","",".",".",".",".","."
"Graduate","12","3.818","83.3",".",".",".","8.3",".",".",".","",".",".","",".","",".","8.3",".",".","."
"Dept. Total","299","3.566","49.8","27.4","10.4","3.7","3.3","0.7","0.7","2.3","",".",".","",".","",".","1.0","0.7",".","."
