"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Macroeconomic Policy","442","001","49","3.388","34.7","22.4","34.7","2.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450","001","78","3.024","14.1","21.8","37.2","14.1","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","117","3.378","30.8","23.9","35.9","4.3","3.4",".",".","0.9",".",".",".",".","0.9",".",".","."
"Latin Amer Economc Develpmt","462","001","25","3.640","48.0","40.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464","001","85","2.842","16.5","18.8","20.0","21.2","14.1","3.5","2.4","1.2",".",".",".",".","2.4",".",".","."
"Intl Industrial Organizations","467","001","57","2.760","22.8","10.5","17.5","24.6","15.8","3.5","5.3",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","53","3.204","28.3","22.6","20.8","18.9","9.4",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","32","3.500","40.6","31.3","15.6","3.1","6.3",".",".",".",".",".",".",".","3.1",".",".","."
"Economics of Growth","475","001","45","3.178","24.4","22.2","31.1","8.9","13.3",".",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","43","3.453","46.5","16.3","27.9",".","9.3",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","72","3.173","29.2","15.3","29.2","15.3","8.3","1.4",".","1.4",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","17","3.438","23.5","35.3","35.3",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis","581","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","16","3.594","43.8","43.8",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","56","3.509","53.6","14.3","19.6","5.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","690","002","34","3.353","41.2","20.6","23.5","8.8","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Topics in Economics","","Course Total","90","3.450","48.9","16.7","21.1","6.7","5.6",".","1.1",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Microeconomics I","701","002","22","3.727","50.0","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomics I","702","001","91","3.352","18.7","44.0","31.9",".","5.5",".",".",".",".",".",".",".",".",".",".","."
"Econometrics I","704","002","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","91","3.495","33.0","33.0","34.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","708","001","62","3.516","32.3","38.7","29.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","708","002","19","3.763","73.7","5.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics II","","Course Total","81","3.574","42.0","30.9","27.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","44","3.463","31.8","36.4","25.0","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","44","3.591","38.6","40.9","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","714","001","26","3.442","30.8","38.5","23.1","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Macroeconomic Theory","810","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
