"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","",""
"630
Proteomics for Biologists","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Fund Stem Cell Regen Biol","002","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"650
Molecular & Cell Organogenesis","001","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Cell and Regenerative Biology","001","","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","4.000","89.7",".",".",".",".",".",".",".",".",".",".",".",".",".","10.3","."
"701
Cell Signals and Human Disease","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"820
Biotechnology Operations","001","","23","3.609","30.4","60.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"824
Molecular Technologies II","001","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Bus Biotech: Sustaining Growth","001","","24","3.239","12.5","37.5","33.3","8.3","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"843
Project Mgmt & Leadership","001","","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Adv Biotech: Global Perspectvs","001","","24","3.174","8.3","29.2","45.8","12.5",".",".",".",".",".",".",".",".","4.2",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
