"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"Intro Land Arch Design","210","001","","18","3.853","66.7","27.8",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Landscape Invntry&Eval Meth","211","001","","17","3.406","17.6","58.8","5.9","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"History of Landscape Arch","260","001","","89","3.541","50.6","28.1","9.0","2.2","2.2","4.5",".",".",".",".",".",".","2.2","1.1",".","."
"Dimensions-Material Culture","264","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Promoting Environments","321","002","","13","3.375","30.8","15.4","38.5","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Landscape Arch Technology I","353","001","","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","12","3.727","41.7","50.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","375","002","","14","2.731","21.4","7.1","21.4","14.3","21.4",".","7.1",".",".",".",".",".",".","7.1",".","."
"","375","003","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","375","004","","17","3.706","64.7","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","38","3.546","47.4","15.8","13.2","7.9","7.9",".","2.6",".",".",".",".",".","2.6","2.6",".","."
"Internship in Land Arch","397","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Housing and Urban Design","561","001","","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Open Space Planning&Design","562","001","","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Land Architecture","611","001","","11","3.300","27.3","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Senior Honors Thesis","682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","20","3.125","15.0","25.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","6","3.846","66.7",".",".",".","16.7",".",".",".",".",".",".",".","16.7",".",".","."
"Crit Inquiry-Landscape Dsgn","720","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research in Landscape Arch","740","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","5","***","","","","","","","","","","","","","","","",""
