"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","15","3.413","33.3","33.3","6.7","20.0",".",".","",".",".","",".",".","",".",".","",".","6.7",".","."
"Junior","","38","3.535","50.0","21.1","18.4","10.5",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","78","3.592","61.5","14.1","15.4","6.4","2.6",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","133","3.554","54.9","18.0","15.8","9.0","1.5",".","",".",".","",".",".","",".",".","",".","0.8",".","."
"Special","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","97","3.846","26.8","7.2","1.0",".",".",".","",".","19.6","",".","32.0","",".","12.4","",".",".","1.0","."
"","Dept. Total","232","3.588","42.7","13.4","9.5","5.2","0.9","0.4","",".","8.6","",".","13.4","",".","5.2","",".","0.4","0.4","."
