"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101
Beginning Class Piano","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","19","3.763","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","6","3.000","50.0","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","7","3.750","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","103","","9","3.667","66.7","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","24","3.658","70.8","4.2","12.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"148
First Year Composition","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","104","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","044","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"207","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"207","210","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Flute","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"219","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"219","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"219","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
