"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","601
005","25","3.220","24.0","28.0","28.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"","601
006","25","3.560","56.0","8.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601
007","25","3.700","52.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
008","24","3.458","41.7","20.8","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","601
009","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
010","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","236","3.709","64.8","17.8","11.9","3.4","0.8","0.4",".",".",".",".",".",".","0.8",".",".","."
"Systems Neuroscience","611
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
006","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","621
007","9","3.875","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
009","17","3.939","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
014","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
016","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
017","38","3.947","97.4",".",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","621
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
023","34","3.969","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
024","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
038","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
039","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","13","3.960","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
044","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","621
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
050","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
053","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
065","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
075","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","621
082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
099","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mentored Research and Seminar","Course Total","306","3.978","96.7","1.3","0.7",".","0.3",".",".",".",".",".",".",".","1.0",".",".","."
"","682
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
