"Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"","999
007","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
013","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Work","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","4700","3.169","27.4","23.9","22.8","13.3","8.7","1.6","0.7","1.1","0.0","0.0","",".","",".","0.3","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","328","2.814","13.1","20.4","20.1","22.9","18.0","4.0","1.5",".",".",".","",".","",".",".",".",".","."
"Sophomore","","1058","3.111","22.9","25.7","22.1","16.4","9.6","1.8","1.0",".",".",".","",".","",".","0.3",".",".","0.1"
"Junior","","1141","3.133","24.5","23.0","24.4","16.7","8.6","2.2","0.5",".",".",".","",".","",".","0.2",".",".","."
"Senior","","1400","3.153","25.6","23.4","25.6","12.6","10.1","1.2","0.7","0.2","0.1","0.1","",".","",".","0.4","0.1","0.1","."
"Undergraduates","","3927","3.106","23.5","23.6","23.8","15.7","10.2","1.9","0.8","0.1","0.0","0.0","",".","",".","0.3","0.0","0.0","0.0"
"Special","","88","3.523","47.7","25.0","12.5","5.7","3.4",".","1.1","2.3",".",".","",".","",".","1.1",".","1.1","."
"Graduate","","685","3.620","47.3","25.4","18.0","1.0","1.0",".","0.1","7.2",".",".","",".","",".",".",".",".","."
"","Dept. Total","4700","3.169","27.4","23.9","22.8","13.3","8.7","1.6","0.7","1.1","0.0","0.0","",".","",".","0.3","0.0","0.0","0.0"
