"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"724
Strategic Global Sourcing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Enterprise Sys & Supply Chain","001","","39","3.782","66.7","23.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Strategic Pricing","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Creating New Products","001","","40","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","003","","39","3.936","92.3","2.6","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","005","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","006","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","008","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","031","","51","3.755","51.0","49.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","166","3.880","78.3","20.5","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"782
Marketing for Non-Marketers","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","087","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","","5","***","","","","","","","","","","","","","","","",""
"805
Qual-Based Marketing Insights","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Marketing Analytics","001","","29","3.589","34.5","44.8","17.2",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"972
Seminar-Marketing PhD","001","","6","3.625","16.7","50.0",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","11","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","","5","***","","","","","","","","","","","","","","","",""
