"LATIN AMER, CARIB & IBERIAN SSection","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction","260","001","","11","3.625","54.5",".",".","18.2",".",".",".",".",".",".",".",".",".","27.3",".","."
"Labor in Americas: US & Mexico","355","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Quechua","362","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","377","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","377","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Topics in LACIS","440","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","","Dept. Total","","27","3.734","63.0",".",".","11.1",".",".",".","3.7",".","7.4",".",".",".","11.1",".","."
