"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","94","3.086","18.1","26.6","26.6","13.8","11.7","2.1",".",".",".",".",".",".",".","1.1",".","."
"","132","002","177","2.845","10.7","18.6","32.8","15.8","18.6","1.1","2.3",".",".",".",".",".",".",".",".","."
"","132","003","333","2.853","14.4","15.0","30.6","12.6","21.9","2.7","0.9","0.3",".",".",".",".","0.3","1.2",".","."
"Nutrition Today","","Course Total","604","2.887","13.9","17.9","30.6","13.7","19.4","2.2","1.2","0.2",".",".",".",".","0.2","0.8",".","."
"Prof-Dietetics & Nutrition","200","001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Global Health","203","001","85","3.947","91.8","5.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutritn","311","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","112","2.964","26.8","9.8","31.3","8.0","17.9","5.4","0.9",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","99","3.464","29.3","46.5","15.2","4.0","2.0",".","1.0","1.0",".",".",".",".","1.0",".",".","."
"Special Topics","375","001","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","421","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421","004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in the Life Span","431","001","59","3.381","35.6","20.3","33.9","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","41","3.817","80.5","7.3","9.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Biochm Prin-Human&Anml Nutr","510","001","23","3.457","47.8","8.7","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","520","001","31","3.750","64.5","19.4","9.7","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"Nutrition, Fitness and Health","525","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Commun Nutr Prgms & Policy Iss","540","003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients","619","001","9","3.056","11.1","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutritn: Obesity&Diabetes","625","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutrition: Vitamins","627","001","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Clinical Nutrition II","632","001","24","3.479","20.8","58.3","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition Research","653","001","28","3.571","53.6","25.0","10.7","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum II","671","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","29","3.911","82.8","10.3","3.4",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Nutrition Informatics","721","001","26","3.827","73.1","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
