"","990
030","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
064","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
068","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","20","",".",".",".",".",".",".","",".","65.0","",".",".","",".","20.0","5.0",".","10.0","."
"POP HLTH
810","Dept. Total","828","3.603","51.3","24.9","12.6","2.9","1.6","0.2","",".","2.9","",".","0.4","",".","0.5","2.4",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.208","8.3","58.3","8.3","16.7","8.3",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","96","3.406","27.1","39.6","24.0","6.3","3.1",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","192","3.494","34.4","37.5","22.4","3.1","1.0","0.5","",".",".","",".",".","",".",".","1.0",".",".","."
"Senior","","196","3.569","48.0","31.6","11.7","3.6","3.1","0.5","",".","1.0","",".",".","",".",".","0.5",".",".","."
"Undergraduates","","496","3.497","37.7","36.1","18.1","4.2","2.4","0.4","",".","0.4","",".",".","",".",".","0.6",".",".","."
"Special","","13","3.859","69.2","23.1",".",".",".",".","",".",".","",".",".","",".",".","7.7",".",".","."
"Graduate","","107","3.794","58.9","9.3","4.7","1.9","0.9",".","",".","14.0","",".",".","",".","3.7","3.7",".","2.8","."
"Prof Yr 1","","26","3.957","84.6",".","3.8",".",".",".","",".",".","",".","11.5","",".",".",".",".",".","."
"Prof Yr 2","","6","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","16","4.000","56.3",".",".",".",".",".","",".","43.8","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","164","3.873","78.7","8.5","4.9","0.6",".",".","",".",".","",".",".","",".",".","7.3",".",".","."
"Professionals","","212","3.884","78.3","6.6","4.2","0.5",".",".","",".","3.3","",".","1.4","",".",".","5.7",".",".","."
"","Dept. Total","828","3.603","51.3","24.9","12.6","2.9","1.6","0.2","",".","2.9","",".","0.4","",".","0.5","2.4",".","0.4","."
