"","765
001","17","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","765
030","44","3.886","77.3","22.7",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","765
031","35","3.986","97.1","2.9",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","96","3.949","88.5","11.5",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"INTL BUS
235","Dept. Total","280","3.616","57.5","26.1","7.5","5.4","2.1","1.1","",".","",".","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","25","3.200","24.0","28.0","24.0","12.0","12.0",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","43","3.314","34.9","30.2","16.3","9.3","4.7","4.7","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","109","3.625","49.5","34.9","7.3","6.4",".","0.9","",".","",".","",".",".","",".","",".","0.9",".",".","."
"Undergraduates","","177","3.489","42.4","32.8","11.9","7.9","2.8","1.7","",".","",".","",".",".","",".","",".","0.6",".",".","."
"Special","","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","97","3.937","86.6","13.4",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","280","3.616","57.5","26.1","7.5","5.4","2.1","1.1","",".","",".","",".",".","",".","",".","0.4",".",".","."
