"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","10","2.900","10.0","40.0","20.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","13","3.654","76.9",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
005","12","3.333","33.3","33.3","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
006","12","3.333","25.0","50.0","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","100
007","12","3.125",".","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","13","3.423","30.8","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","13","3.500","23.1","61.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","020
100","12","3.000","25.0","33.3","8.3","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","100
021","11","3.318","45.5","27.3","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","100
022","9","3.167","11.1","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","13","3.231","15.4","46.2","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
026","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
029","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","12","3.583","58.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","12","3.125","8.3","58.3","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","100
033","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","13","3.538","53.8","23.1","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
035","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","429","3.555","44.5","35.7","12.6","4.4","1.6","0.5","0.7",".",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","155
001","125","3.824","75.2","19.2","4.8",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","119","3.521","39.5","39.5","13.4","3.4","1.7","0.8","0.8",".",".",".",".",".",".","0.8",".","."
"Survey of Contemporary Media","250
001","179","2.997","7.3","32.4","34.1","16.2","5.6","1.7","2.2",".",".",".",".",".","0.6",".",".","."
"Communication & Human Behav","260
001","231","3.688","66.2","18.6","7.8","3.5","1.3","0.9","0.9",".",".",".",".",".","0.9",".",".","."
"Thry&Pract-Argument&Debate","262
001","134","3.515","37.3","41.0","15.7","3.7","0.7","0.7","0.7",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","143","2.909","16.1","28.7","23.1","13.3","9.1","5.6","4.2",".",".",".",".",".",".",".",".","."
"Film Comedy","300
001","100","3.388","27.0","37.0","23.0","9.0","1.0","1.0",".","2.0",".",".",".",".",".",".",".","."
"Rhetoric and Health","317
001","72","3.648","52.8","36.1","6.9",".",".","1.4","1.4",".",".",".",".",".",".","1.4",".","."
