"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","223","2.936","19.3","14.8","26.9","19.3","13.9","2.7","1.3","1.8",".",".",".",".",".",".",".","."
"Politics Around the World","120","001","148","2.819","9.5","30.4","21.6","12.8","13.5","6.1","3.4",".",".",".",".",".","0.7",".","2.0","."
"Intro-Internatl Relations","140","001","190","3.344","36.8","24.7","16.8","11.1","7.4","0.5","0.5","2.1",".",".",".",".",".",".",".","."
"Intro to Political Theory","160","001","99","3.328","33.3","35.4","18.2","4.0","4.0","3.0","2.0",".",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","170","001","97","3.219","21.6","40.2","12.4","15.5","6.2","3.1",".",".",".",".",".",".","1.0",".",".","."
"","202","001","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","202","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wisc in Washington Prep Course","","Course Total","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Law, Politics and Society","217","001","17","3.588","52.9","23.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","65","3.223","23.1","29.2","33.8","3.1","9.2",".","1.5",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","19","3.316","57.9","5.3","15.8","5.3","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","10","3.538","60.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","19","3.632","57.9","26.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","47","3.630","51.1","34.0","6.4","4.3",".","2.1",".",".",".",".",".",".","2.1",".",".","."
"Africa: Introductory Survey","277","001","38","3.684","71.1","10.5","10.5","5.3",".","2.6",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Islam and World Politics","323","001","72","3.721","58.3","30.6","5.6","1.4",".","1.4",".","1.4",".",".",".",".","1.4",".",".","."
"Eur Union:Politics&Pol Econ","340","001","56","3.074","21.4","26.8","14.3","19.6","12.5",".","1.8",".",".",".",".",".",".",".","3.6","."
"Conflict Resolution","345","001","49","3.228","36.7","24.5","14.3","6.1","4.1","4.1","4.1","6.1",".",".",".",".",".",".",".","."
"Analysis of Intl Relations","348","001","95","2.816","18.9","23.2","14.7","17.9","13.7","8.4","3.2",".",".",".",".",".",".",".",".","."
"Labor in Americas: US & Mexico","355","001","18","3.222","27.8","16.7","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Amer Political Thought","360","001","43","3.012","4.7","41.9","30.2","7.0","14.0",".","2.3",".",".",".",".",".",".",".",".","."
"Literature and Politics","363","001","49","3.551","36.7","44.9","10.2","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","49","3.571","55.1","26.5","10.2","2.0","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","150","3.395","30.0","38.0","18.0","8.7","0.7","2.7",".","0.7",".",".",".",".",".","1.3",".","."
"","400","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","48","3.594","39.6","47.9","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","005","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","400","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","007","39","3.471","41.0","25.6","10.3","5.1",".","5.1",".","10.3",".",".",".",".",".",".","2.6","."
"Topics in Political Science","","Course Total","128","3.607","58.6","25.8","4.7","4.7",".","1.6",".","3.1",".",".",".",".","0.8",".","0.8","."
"","401","002","25","3.521","28.0","56.0","4.0","4.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"","401","003","43","3.643","46.5","32.6","18.6",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"","401","004","15","3.167","26.7","20.0","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","83","3.498","37.3","37.3","15.7","3.6","3.6",".",".",".",".",".",".",".","1.2","1.2",".","."
"The American Presidency","408","001","60","3.106","16.7","26.7","20.0","15.0","5.0","1.7","1.7","13.3",".",".",".",".",".",".",".","."
"The American Constitution II","412","001","48","3.435","29.2","35.4","25.0","2.1","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","460","002","11","3.875","27.3","9.1",".",".",".",".",".",".",".",".",".",".","63.6",".",".","."
"","460","003","14","3.417","28.6","14.3","42.9",".",".",".",".","7.1",".",".",".",".",".",".","7.1","."
"Topics in Political Philos","","Course Total","25","3.531","28.0","12.0","24.0",".",".",".",".","4.0",".",".",".",".","28.0",".","4.0","."
