"PORTUGUESE (SPANISH & PORTSection","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","002","","11","3.091","36.4","9.1","18.2","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","","Course Total","","16","3.031","31.3","12.5","18.8","6.3","31.3",".",".",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Romance Languages","429","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Port Lit since 1825","467","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","899","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"PORTUG
782","","Dept. Total","","51","3.519","51.0","21.6","5.9","2.0","9.8",".",".","9.8",".",".",".",".",".",".",".","."
