"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
020","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
163","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
004","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
171","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
102","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","9","3.111",".","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","19","3.263","15.8","26.3","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Music Education","300
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Great Composers","306
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","103","3.950","90.3","4.9","1.0","1.0",".",".",".","2.9",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Vocal Styles in Class","344
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","5","***","","","","","","","","","","","","","","","",""
"Wind Ensemble","40
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Concert Band","41
001","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
011","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music in the United States","419
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Varsity Band","42
001","277","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","114","4.000","99.1",".",".",".",".",".",".","0.9",".",".",".",".",".",".",".","."
