"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"350
Parasitology","001","","12","3.364","58.3",".","8.3",".","25.0",".",".","8.3",".",".",".",".",".",".",".","."
"370
Sci Ethics Dis of Animal Rsrch","001","","21","3.658","38.1","42.9","9.5",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"514
Veterinary Parasitology","001","","94","3.362","37.2","17.0","34.0","4.3","7.4",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","85","3.794","63.5","31.8","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","96","4.000","92.7",".",".",".",".",".",".","7.3",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","96","3.464","34.4","32.3","26.0","6.3","1.0",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","96","3.448","34.4","28.1","30.2","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","36","4.000","86.1",".",".",".",".",".",".","13.9",".",".",".",".",".",".",".","."
"675","001","","191","",".",".",".",".",".",".",".","94.2",".",".",".",".","5.8",".",".","."
"675","002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","210","",".",".",".",".",".",".",".","94.8",".",".",".",".","5.2",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"775","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"930
Advanced Seminar","011","","18","3.455","16.7","22.2","22.2",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
