"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"125
Community and Social Change","001","","58","3.750","63.8","25.9","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"130
Community Newswriting","001","","42","3.917","85.7","11.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"254
CNPL Leadership Symposium","001","","89","3.893","88.8","7.9","1.1",".","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","54","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"345
Evaluation and Planning","001","","32","3.438","46.9","21.9","21.9","3.1","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"460
Civil Soc & Commnty Leadership","001","","42","3.607","59.5","23.8","2.4","11.9",".","2.4",".",".",".",".",".",".",".",".",".","."
"501","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"501","007","","27","3.923","81.5","14.8",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Special Topics","Course Total","","31","3.933","83.9","12.9",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"570
Community Based Resrch & Eval","001","","25","3.060","32.0","16.0","16.0","20.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"600
Community Issues and Action","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"801
Civil Soc & Community Research","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813
Transformative Evaluation","001","","19","3.722","57.9","26.3","5.3","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
