"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","105
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","43","3.976","95.3",".","2.3",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"","110
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","13","3.731","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","83","3.904","84.3","14.5",".",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"","115
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","115
034","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
052","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
053","8","2.625","25.0",".","12.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","115
054","8","2.938","12.5","37.5","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".","."
"","115
055","7","3.429","42.9","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","115
056","10","3.250","40.0","20.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","115
057","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","148","3.663","72.3","11.5","4.7","5.4","2.0","2.7","0.7",".",".",".",".",".",".",".",".","0.7"
"","125
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coming to Terms-Cultrl Divrsty","225
001","176","3.841","80.7","11.4","4.5","2.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth &Diverse Community","237
001","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","300
001","18","3.917","94.4",".",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","17","3.813","76.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","325
002","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","Course Total","31","3.897","83.9","3.2","3.2","3.2",".",".",".",".",".",".",".",".","6.5",".",".","."
"","350
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Peer Ldrshp&Mntrshp-Trans Stdt","Course Total","5","***","","","","","","","","","","","","","","","",""
"Latin@ Mental Health","525
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","620
005","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Communication Skills","655
001","93","3.857","83.9","8.6","1.1","2.2","1.1","1.1",".","1.1",".",".",".",".","1.1",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 82 of 423"
