"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","32","2.797","37.5","9.4","9.4","6.3","25.0","3.1","9.4",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","102
001","30","3.933","96.7",".",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","9","3.167","11.1","44.4","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","138","3.377","31.9","34.8","21.0","5.8","5.1","0.7","0.7",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","240
001","87","3.810","69.0","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","34","3.382","35.3","20.6","35.3","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","464
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","540
002","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics","560
001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","375","3.528","52.8","22.9","13.9","4.0","4.8","0.5","1.1",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","3.379","53.1","18.8","18.8",".","3.1",".","6.3",".",".",".",".",".",".",".",".","."
"Sophomore","","120","3.535","55.0","19.2","16.7","2.5","5.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"Junior","","111","3.515","49.5","27.0","10.8","7.2","3.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"Senior","","110","3.587","53.6","24.5","12.7","3.6","5.5",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","373","3.530","52.8","23.1","13.9","4.0","4.6","0.5","1.1",".",".",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","375","3.528","52.8","22.9","13.9","4.0","4.8","0.5","1.1",".",".",".",".",".",".",".",".","."
