"","660
001","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","660
002","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Mentor Training","Course Total","7","",".",".","",".",".",".","",".",".",".","",".","100.0","",".","",".",".",".",".","."
"Special Topics","675
001","6","4.000","100.0",".","",".",".",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"INTEGSCI
503","Dept. Total","135","3.928","84.4","3.0","",".","0.7","0.7","",".","0.7","4.4","",".","5.2","",".","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","4.000","100.0",".","",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","40","3.931","95.0",".","",".",".",".","",".","2.5",".","",".",".","",".","",".","2.5",".",".","."
"Junior","","40","3.892","92.5","2.5","",".","2.5","2.5","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","28","3.940","89.3","10.7","",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","116","3.926","93.1","3.4","",".","0.9","0.9","",".","0.9",".","",".",".","",".","",".","0.9",".",".","."
"Graduate","","19","4.000","31.6",".","",".",".",".","",".",".","31.6","",".","36.8","",".","",".",".",".",".","."
"","Dept. Total","135","3.928","84.4","3.0","",".","0.7","0.7","",".","0.7","4.4","",".","5.2","",".","",".","0.7",".",".","."
