"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Spec Topics in Mass Comm","176","001","26","3.712","61.5","23.1","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","356","3.524","46.1","25.0","21.9","3.4","1.7","1.1","0.3","0.3",".",".",".",".","0.3",".",".","."
"Mass Communication Practices","202","001","105","3.514","25.7","55.2","17.1",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Information for Communication","203","001","105","3.614","44.8","41.9","6.7","4.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"","335","001","21","3.333","14.3","38.1","47.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","20","3.325","20.0","30.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","41","3.329","17.1","34.1","46.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","345","001","37","3.689","51.4","37.8","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","28","3.821","67.9","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","","Course Total","65","3.746","58.5","33.8","6.2","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investigative Reporting","420","001","12","3.708","75.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","445","001","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445","002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","","Course Total","32","3.828","71.9","21.9","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emerging Media and the News","455","001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Strategies","464","001","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","035","19","3.632","26.3","73.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","036","17","3.647","82.4","5.9",".","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","","Course Total","36","3.639","52.8","41.7",".","2.8",".",".","2.8",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","563","001","66","3.356","24.2","34.8","34.8","3.0","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565","001","94","3.586","47.9","26.6","18.1","6.4",".",".",".",".",".",".",".",".",".",".","1.1","."
"Communicatn&Public Opinion","566","001","27","3.222","18.5","33.3","25.9","18.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","002","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Mass Media and Youth","616","001","20","3.325","35.0","25.0","30.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","20","3.750","70.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618","001","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620","001","30","3.733","56.7","33.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Networks in Comm","664","001","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","50","3.786","60.0","34.0","4.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","051","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
