"","990
032","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
033","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
034","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Thesis-Research","Course Total","57","",".",".",".",".",".",".","",".","87.7",".",".","",".","12.3",".",".",".","."
"CBE
220","Dept. Total","1067","3.276","37.9","16.1","16.2","9.7","7.9","1.4","",".","9.3","0.1",".","",".","1.2","0.2","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","65","3.418","69.2","13.8","7.7","4.6","3.1","1.5","",".",".",".",".","",".",".",".",".",".","."
"Junior","","173","3.102","34.1","17.3","17.9","13.3","12.1","5.2","",".",".",".",".","",".",".",".",".",".","."
"Senior","","651","3.284","38.7","20.0","19.8","11.7","8.8","0.6","",".","0.2",".",".","",".",".","0.3",".",".","."
"Undergraduates","","897","3.254","40.6","18.8","18.4","11.4","8.9","1.6","",".","0.1",".",".","",".",".","0.2",".",".","."
"Special","","10","2.500","20.0",".","10.0","10.0","40.0","10.0","",".",".",".",".","",".",".",".","10.0",".","."
"Graduate","","161","3.815","24.2","1.9","4.3",".",".",".","",".","60.9","0.6",".","",".","8.1",".",".",".","."
"","Dept. Total","1068","3.276","37.9","16.1","16.2","9.6","7.9","1.4","",".","9.3","0.1",".","",".","1.2","0.2","0.1",".","."
