"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","333","3.173","23.7","27.0","21.9","15.9","10.8","0.6",".",".",".",".",".",".",".",".",".","."
"","002
101","260","2.988","20.8","21.2","20.8","21.2","10.8","3.8","1.2",".",".",".",".",".",".",".",".","0.4"
"","101
003","197","2.916","19.8","22.8","18.3","18.3","14.7","2.5","3.6",".",".",".",".",".",".",".",".","."
"","101
004","203","2.953","21.2","18.7","22.2","19.2","13.8","3.0","2.0",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","993","3.029","21.7","23.0","20.9","18.4","12.2","2.3","1.4",".",".",".",".",".",".",".",".","0.1"
"","102
001","295","2.993","18.6","20.3","25.8","20.3","10.5","4.4",".",".",".",".",".",".",".",".",".","."
"","102
002","332","3.172","22.9","26.5","22.6","16.6","10.2","0.3",".",".",".",".",".",".","0.6",".","0.3","."
"Principles-Macroeconomics","Course Total","627","3.087","20.9","23.6","24.1","18.3","10.4","2.2",".",".",".",".",".",".","0.3",".","0.2","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","13","2.542",".","7.7","30.8","30.8","15.4","7.7",".",".","7.7",".",".",".",".",".",".","."
"","300
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
003","6","1.917",".",".","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","24","2.478",".","8.3","33.3","25.0","20.8","4.2","4.2",".","4.2",".",".",".",".",".",".","."
"","301
001","158","3.290","32.9","29.1","15.8","13.3","5.1","2.5","0.6",".",".",".",".",".","0.6",".",".","."
"","301
002","163","3.183","25.2","26.4","22.7","12.3","10.4","1.8",".",".",".",".",".",".","1.2",".",".","."
"Intmed Microeconomic Theory","Course Total","321","3.236","29.0","27.7","19.3","12.8","7.8","2.2","0.3",".",".",".",".",".","0.9",".",".","."
"","302
001","159","3.478","32.7","40.9","17.0","6.3","2.5",".",".",".",".",".",".",".","0.6",".",".","."
"","302
002","188","3.187","15.4","33.5","30.3","15.4","3.7","1.1",".","0.5",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","347","3.320","23.3","36.9","24.2","11.2","3.2","0.6",".","0.3",".",".",".",".","0.3",".",".","."
"","306
001","36","2.764","13.9","11.1","13.9","41.7","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"","306
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","37","2.770","13.5","10.8","16.2","40.5","16.2","2.7",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","309
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","131","2.802","22.1","10.7","22.1","12.2","27.5","2.3","3.1",".",".",".",".",".",".",".",".","."
"","002
310","152","3.156","23.0","18.4","36.2","15.1","5.3",".","1.3",".",".",".",".",".","0.7",".",".","."
"Stats:Measrmnt in Economics","Course Total","283","2.991","22.6","14.8","29.7","13.8","15.5","1.1","2.1",".",".",".",".",".","0.4",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","27","3.722","59.3","25.9","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Money and Banking","330
001","106","2.995","21.7","18.9","16.0","29.2","11.3","2.8",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","40","2.866","22.5","15.0","30.0","12.5","7.5","7.5","5.0",".",".",".",".",".",".",".",".","."
"Economics Poverty Inequality","370
001","27","3.231","33.3","25.9","11.1","11.1","11.1","3.7",".",".",".",".",".",".",".",".","3.7","."
"","390
001","12","3.625","58.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","390
002","52","3.051","15.4","19.2","32.7","17.3","7.7","1.9",".","3.8",".",".",".",".","1.9",".",".","."
"","003
390","44","3.523","52.3","18.2","13.6","6.8","6.8",".",".","2.3",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","Course Total","108","3.313","35.2","19.4","21.3","13.0","6.5","0.9",".","2.8",".",".",".",".","0.9",".",".","."
"Intro Applied Econometrics","400
001","95","3.032","22.1","21.1","20.0","18.9","15.8","2.1",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","112","3.165","21.4","29.5","25.0","14.3","8.0","0.9","0.9",".",".",".",".",".",".",".",".","."
"","420
001","10","3.250","40.0","10.0","40.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","002
420","16","2.813","18.8","12.5","43.8",".","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"","420
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","31","2.919","22.6","16.1","41.9",".","6.5","6.5","6.5",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","94","3.053","16.0","26.6","27.7","16.0","11.7","2.1",".",".",".",".",".",".",".",".",".","."
