"ENVIR ST - GAYLORD NELSON INSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Pract Appl of GPS Surveying","444
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and the Environment","445
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Environmental History","465
001","","27","3.167","7.4","55.6","18.5","14.8",".",".","3.7",".",".",".",".",".",".",".",".","."
"Intro-Environmental Health","471
001","","100","3.520","40.0","34.0","19.0","4.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506
001","","15","3.731","53.3","20.0","13.3",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Ecology of Fishes","510
001","","23","3.545","47.8","13.0","30.4","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"","511
001","","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","511
002","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","20","3.700","70.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515
001","","9","2.944","33.3","11.1","22.2","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
002","","13","3.909","76.9",".","7.7",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","600
003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
005","","17","3.676","64.7","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","60","3.871","83.3","3.3","8.3","1.7",".",".",".",".",".",".",".",".","3.3",".",".","."
"Energy Economics","671
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","","11","3.545","45.5","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Res Mgt Pract Pl Smr II","718
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci & Envir Communication","823
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Land Use Policy & Planning","843
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
900","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","24","3.703","79.2","8.3","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"CHE Methods Seminar","001
922","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","978
001","","24","3.375","41.7","29.2","16.7","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","002
978","","23","3.696","73.9","17.4","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","003
978","","36","3.597","75.0","8.3","8.3",".",".","5.6","2.8",".",".",".",".",".",".",".",".","."
"","004
978","","23","3.804","91.3","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","978
005","","35","3.714","74.3","17.1","2.9",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 164 of 423",""
