"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Intro to Education Policy","145
001","44","3.670","77.3","13.6",".","2.3",".","4.5","2.3",".",".",".",".",".",".",".",".","."
"","150
001","41","3.866","80.5","12.2","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","32","3.850","68.8","21.9","3.1",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","150
003","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","102","3.900","82.4","11.8","3.9",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Youth, Education, and Society","210
001","117","3.940","94.0","2.6","0.9","0.9",".","0.9",".",".",".",".",".",".","0.9",".",".","."
"","300
001","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
300","45","3.545","62.2","11.1","13.3","2.2","6.7",".","2.2",".",".",".",".",".","2.2",".",".","."
"","300
005","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","160","3.830","82.5","8.1","5.6","0.6","1.9",".","0.6",".",".",".",".",".","0.6",".",".","."
"Globalization and Education","335
001","20","3.700","75.0","10.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Comparative Education","340
001","43","3.884","86.0","7.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412
001","78","3.459","37.2","30.8","12.8","6.4","6.4",".",".","1.3",".",".",".",".","1.3","3.8",".","."
"","500
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
002","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Topics on Soc Issues and Ed","Course Total","23","3.913","95.7",".",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Issues in Urban Education","505
001","25","3.938","88.0","4.0","4.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Gender and Education","560
001","17","3.900","70.6","17.6",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","600
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","Course Total","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Qualitative Resch","755
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ed in Develop Societies","760
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Educ Policy","780
001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","955
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","955
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Qualitative Methodology","Course Total","3","***","","","","","","","","","","","","","","","",""
"Cross Natl Studies-Ed Probs","962
001","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","990
002","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 93 of 423"
