"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362
001","","260","3.669","70.0","11.2","9.6","2.7","3.5","1.2","0.8","0.8",".",".",".",".","0.4",".",".","."
"Develp: Adolescence-Old Age","363
001","","252","3.602","58.7","23.4","9.9","2.0","2.4","2.4","0.8","0.4",".",".",".",".",".",".",".","."
"","425
001","","33","3.652","48.5","39.4","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","425
002","","35","3.686","65.7","14.3","11.4","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","Course Total","","68","3.669","57.4","26.5","10.3","4.4","1.5",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","465
001","","31","3.516","45.2","25.8","16.1","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","","45","3.622","64.4","15.6","8.9","2.2","8.9",".",".",".",".",".",".",".",".",".",".","."
"","474
001","","41","3.732","65.9","19.5","9.8","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","474
002","","37","3.662","64.9","16.2","8.1","8.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","78","3.699","65.4","17.9","9.0","6.4","1.3",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","32","3.210","31.3","28.1","15.6","6.3","12.5",".","3.1",".",".",".",".",".","3.1",".",".","."
"","501
002","","46","3.859","82.6","8.7","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","78","3.597","61.5","16.7","10.3","3.8","5.1",".","1.3",".",".",".",".",".","1.3",".",".","."
"Family Stress and Resilience","516
001","","48","3.698","66.7","10.4","20.8",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","","31","3.833","74.2","12.9","9.7",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","","38","3.553","47.4","28.9","13.2","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592
001","","19","3.919","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601
002","","63","3.823","87.3","6.3",".",".","1.6","1.6","1.6",".",".",".",".",".","1.6",".",".","."
"Mass Media and Youth","616
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","","36","3.871","77.8","13.9","5.6",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","650
002","","35","3.868","80.0","11.4","2.9","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Parent Educ & Support Programs","Course Total","","71","3.870","78.9","12.7","4.2","1.4",".",".",".",".",".",".",".",".","2.8",".",".","."
"Developmental & Fam Assessment","663
001","","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","680
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Theory & Issues-Human Dev","725
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic/Racial Social Dev","726
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in HDFS","Course Total","","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 152 of 423",""
