"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
011","40","3.716","60.0","15.0","15.0","2.5",".",".",".","7.5",".",".",".",".",".",".",".","."
"","1
012","43","3.707","60.5","18.6","11.6","4.7",".",".",".","4.7",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","97","3.750","64.9","15.5","11.3","3.1",".",".",".","5.2",".",".",".",".",".",".",".","."
"","11
001","21","3.738","71.4","23.8",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","11
002","18","3.556","66.7","5.6","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance I","Course Total","39","3.654","69.2","15.4","7.7","2.6",".","5.1",".",".",".",".",".",".",".",".",".","."
"","001
112","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
112","12","3.810","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","16","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","47","3.867","80.9","12.8",".","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","36","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","118
002","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","72","4.000","97.2",".",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","27","3.315","25.9","25.9","33.3","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","21","3.595","52.4","23.8","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
001","36","3.903","86.1","8.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
002","36","3.889","88.9","2.8","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","41","3.875","82.9","9.8","2.4",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","113","3.888","85.8","7.1","4.4","0.9","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Dance Production","140
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","26","3.846","80.8","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","20","3.825","80.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dancing Gender","168
001","137","3.746","62.8","22.6","10.9","0.7","0.7",".",".","1.5",".",".",".",".","0.7",".",".","."
"","2
001","42","3.607","59.5","16.7","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","2
002","40","3.825","92.5",".","2.5",".","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"","003
2","45","3.942","88.9","2.2","4.4",".",".",".",".","4.4",".",".",".",".",".",".",".","."
"","2
004","38","3.919","89.5","2.6","2.6","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","165","3.821","82.4","5.5","6.1","1.8","1.8",".","0.6","1.8",".",".",".",".",".",".",".","."
"Ballet I","001
21","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","10","3.600","40.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","212
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","212
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","22","3.694","59.1","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226
001","14","3.769","64.3","21.4",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intro:Dynamcs-Dance Therapy","232
001","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Equipment II","236
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268
001","101","3.515","52.5","16.8","17.8","3.0","6.9","1.0",".",".","1.0",".",".",".","1.0",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 101 of 423",""
