"COMPUTER SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Tech:Computer-Based Bus Sys","371","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","001","159","3.345","26.4","36.5","26.4","5.7","1.9","1.9","0.6",".",".",".",".",".","0.6",".",".","."
"","400","002","155","3.286","32.9","27.7","23.9","7.1","1.9","4.5","1.3","0.6",".",".",".",".",".",".",".","."
"","400","004","157","3.449","35.7","36.9","17.2","7.0","1.3","1.3","0.6",".",".",".",".",".",".",".",".","."
"Programming III","","Course Total","471","3.360","31.6","33.8","22.5","6.6","1.7","2.5","0.8","0.2",".",".",".",".","0.2",".",".","."
"Introducing Comp Sci to K-12","402","001","45","3.978","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","88","2.860","12.5","12.5","36.4","17.0","17.0",".","2.3","1.1",".",".",".",".","1.1",".",".","."
"Intro-Computational Statistics","471","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","003","17","2.824","29.4","17.6","5.9","17.6","11.8","17.6",".",".",".",".",".",".",".",".",".","."
"","475","004","12","2.667","16.7","8.3","25.0","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".","."
"","475","005","9","2.500","22.2",".","22.2","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","","Course Total","38","2.697","23.7","10.5","15.8","18.4","15.8","13.2","2.6",".",".",".",".",".",".",".",".","."
"CS Education","502","001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","506","001","136","3.294","33.8","25.0","20.6","10.3","8.8","1.5",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","14","2.536","21.4","7.1","21.4","14.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".","."
"Wearable Technology","518","001","15","3.767","80.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520","001","44","2.716","20.5","9.1","25.0","2.3","34.1","9.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","46","3.455","43.5","28.3","13.0","6.5",".","2.2","2.2","2.2",".",".",".",".",".",".",".","2.2"
"Linear Programming Methods","525","001","25","3.340","56.0","8.0","16.0","4.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","532","001","35","3.817","54.3","31.4",".",".",".",".",".","11.4",".",".",".",".",".",".",".","2.9"
"Intro-Progm Langs&Compilers","536","001","121","2.846","17.4","26.4","14.0","19.0","12.4","5.8","4.1",".","0.8",".",".",".",".",".",".","."
"Intro to Operating Systems","537","001","273","3.335","30.8","33.7","19.0","10.3","3.3","1.8","0.7","0.4",".",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","538","001","39","3.372","53.8","15.4","15.4","7.7",".","2.6","5.1",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540","001","159","3.119","24.5","20.1","21.4","22.0","8.2","1.9",".","1.9",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","23","3.435","43.5","13.0","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Graphics","559","001","172","3.297","25.6","37.2","19.8","9.9","4.7",".","1.7","0.6",".",".",".",".",".",".",".","0.6"
"Database Mgt Systems","564","001","131","2.922","17.6","22.1","28.2","9.9","11.5","7.6","1.5","0.8",".",".",".",".",".",".",".","0.8"
"Medical Image Analysis","567","001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","577","001","337","3.006","17.8","18.4","24.9","26.7","10.7","0.3","0.6","0.3",".",".",".",".","0.3",".",".","."
"User Experience Design 2","612","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639","001","25","3.700","52.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639","002","47","3.160","21.3","25.5","31.9","10.6","8.5","2.1",".",".",".",".",".",".",".",".",".","."
"","639","003","110","3.009","16.4","21.8","27.3","16.4","11.8","1.8","0.9","2.7","0.9",".",".",".",".",".",".","."
"","639","004","118","3.746","59.3","24.6","9.3","1.7",".",".",".","4.2",".",".",".",".","0.8",".",".","."
"UG Elective Topic in Computing","","Course Total","300","3.378","37.0","24.7","19.7","8.3","5.7","1.0","0.3","2.7","0.3",".",".",".","0.3",".",".","."
"Intro to Computer Networks","640","001","87","3.195","25.3","29.9","23.0","9.2","9.2","3.4",".",".",".",".",".",".",".",".",".","."
"Intro to Information Security","642","001","93","3.288","28.0","29.0","24.7","8.6","7.5","1.1",".","1.1",".",".",".",".",".",".",".","."
"","681","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","148","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 207 of 423",""
