"E ASIAN LANGUAGES & LITERATSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"573
Rdgs-Classical Japanese Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Japanese for Politics&Govrnmnt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"631
History of Chinese Language","001","","11","3.222","27.3","9.1","27.3","9.1","9.1",".",".",".",".",".",".",".","18.2",".",".","."
"682
Senior Honors Thesis","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"763
Studies-Japanese Literature","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Reading for Research","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","14","",".",".",".",".",".",".",".","92.9",".",".",".","7.1",".",".",".","."
"999
Independent Research","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
295","Dept. Total","","666","3.776","68.9","18.0","6.6","0.8","0.9","0.2","0.6","2.9",".",".",".","0.2","0.6","0.2","0.3","."
