"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"126
001
Principles-Envrnmtl Science","10","3.100","10.0","20.0","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"157
002","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
011","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"157
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"157
017","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
018","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","78","3.769","64.1","25.6","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","76","3.599","53.9","27.6","10.5","2.6","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","101","3.852","87.1","7.9","1.0",".","2.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","38","3.662","39.5","50.0","7.9",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"234
001","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"234
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Genres-Westrn Relig Writing","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"357
001
Peer Mentor Seminar","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Interdis in Arts & Humanities","17","3.906","82.4","5.9","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"372
001
Interdis Studies-Soc Sciences","4","***","","","","","","","","","",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","13","3.346","30.8","53.8","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"ILS
Dept. Total
500","406","3.718","57.4","19.7","7.1","0.7","1.5","0.5","0.5","0.5",".","11.6",".",".","0.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","51","3.537","39.2","15.7","7.8","2.0",".","2.0","2.0",".",".","31.4",".",".",".",".",".","."
"Sophomore","148","3.721","52.7","16.2","6.8","1.4","2.7",".",".",".",".","19.6",".",".","0.7",".",".","."
"Junior","119","3.762","69.7","18.5","7.6",".",".","0.8","0.8",".",".","1.7",".",".","0.8",".",".","."
"Senior","87","3.728","59.8","29.9","6.9",".","2.3",".",".","1.1",".",".",".",".",".",".",".","."
"Undergraduates","405","3.718","57.5","19.8","7.2","0.7","1.5","0.5","0.5","0.2",".","11.6",".",".","0.5",".",".","."
"Special","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dept. Total","406","3.718","57.4","19.7","7.1","0.7","1.5","0.5","0.5","0.5",".","11.6",".",".","0.5",".",".","."
