"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","104","2.485","14.4","7.7","26.0","3.8","31.7","10.6","4.8",".",".",".",".",".",".",".",".","1.0"
"","002
101","143","2.601","17.5","9.8","25.9","5.6","27.3","9.8","4.2",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","247","2.553","16.2","8.9","25.9","4.9","29.1","10.1","4.5",".",".",".",".",".",".",".",".","0.4"
"","102
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.286","28.6","21.4","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","9","3.111","33.3",".","44.4",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
004","13","2.885","7.7","23.1","30.8","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"","102
005","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
006","13","3.231","23.1","7.7","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","12","3.625","66.7",".","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","13","3.308","38.5","23.1","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
011","10","3.100","30.0",".","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
012","12","3.500","50.0","16.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
013","10","3.000","10.0","20.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
014","12","2.583",".","33.3","16.7",".","41.7","8.3",".",".",".",".",".",".",".",".",".","."
"","102
015","12","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
016","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
017","11","3.045","18.2","18.2","45.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","102
018","10","3.500","60.0",".","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
019","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","211","3.308","37.9","16.1","28.9","5.7","10.4","0.9",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","84","2.411","10.7","4.8","28.6","8.3","31.0","13.1","3.6",".",".",".",".",".",".",".",".","."
"","152
001","117","3.188","24.8","12.8","48.7","7.7","3.4","2.6",".",".",".",".",".",".",".",".",".","."
"","152
002","91","3.181","30.8","16.5","30.8","6.6","13.2","2.2",".",".",".",".",".",".",".",".",".","."
"","152
003","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
005","10","3.150",".","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","152
006","7","3.286","28.6",".","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
007","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
008","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
009","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
010","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","268","3.261","30.6","16.4","39.2","6.0","6.0","1.9",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","001
153","47","2.596","21.3","4.3","27.7","4.3","23.4","19.1",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","58","2.931","22.4","17.2","20.7","17.2","19.0",".","3.4",".",".",".",".",".",".",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 337 of 423",""
