"","990
073","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
078","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
081","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","33","",".",".",".",".",".","",".","",".","84.8","",".",".","",".","15.2",".",".",".","."
"PATH-BIO
703","Dept. Total","864","3.544","36.8","13.2","11.3","2.0","1.3","",".","",".","33.3","",".",".","",".","0.6","1.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.719","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","24","3.675","62.5","12.5","12.5",".","4.2","",".","",".",".","",".",".","",".",".","8.3",".",".","."
"Senior","","17","3.707","70.6","17.6","5.9",".","5.9","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","47","3.693","63.8","19.1","8.5",".","4.3","",".","",".",".","",".",".","",".",".","4.3",".",".","."
"Special","","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","49","3.711","12.2","6.1","8.2",".",".","",".","",".","65.3","",".",".","",".","8.2",".",".",".","."
"Prof Yr 1","","192","3.362","18.2","8.3","16.7","2.1","3.6","",".","",".","47.9","",".",".","",".",".","3.1",".",".","."
"Prof Yr 2","","394","3.512","39.3","15.0","13.7","3.3","0.3","",".","",".","26.9","",".",".","",".","0.3","1.3",".",".","."
"Prof Yr 3","","86","3.794","62.8","31.4","4.7",".",".","",".","",".","1.2","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","94","4.000","40.4",".",".",".",".","",".","",".","59.6","",".",".","",".",".",".",".",".","."
"Professionals","","766","3.531","36.8","13.3","11.7","2.2","1.0","",".","",".","33.3","",".",".","",".","0.1","1.4",".",".","."
"","Dept. Total","864","3.544","36.8","13.2","11.3","2.0","1.3","",".","",".","33.3","",".",".","",".","0.6","1.5",".",".","."
