"","999
106","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
110","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
112","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Reading for PhD Prelims","Course Total","19","4.000","15.8",".",".",".",".",".",".","78.9","",".",".","",".","5.3",".",".",".","."
"ENGL
352","Dept. Total","3748","3.706","64.4","17.7","8.2","2.6","1.7","0.4","0.5","1.4","",".","1.1","",".","1.3","0.4","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","426","3.740","70.9","17.1","7.0","1.9","1.9",".","0.7",".","",".",".","",".",".","0.5",".",".","."
"Sophomore","","1235","3.767","73.0","16.2","7.0","1.9","1.2","0.3","0.3",".","",".",".","",".",".","0.2",".",".","."
"Junior","","810","3.603","56.9","22.2","12.1","4.3","2.3","0.5","0.9",".","",".","0.4","",".",".","0.2","0.1",".","."
"Senior","","909","3.651","60.0","20.1","8.6","3.6","2.0","0.9","0.6","0.8","",".","3.0","",".",".","0.3","0.2",".","."
"Undergraduates","","3380","3.693","65.4","18.8","8.6","2.9","1.8","0.5","0.6","0.2","",".","0.9","",".",".","0.3","0.1",".","."
"Special","","76","3.542","40.8","15.8","17.1",".","2.6",".","1.3","10.5","",".","3.9","",".",".","2.6",".","5.3","."
"Graduate","","291","3.960","60.1","4.8","0.3",".",".",".",".","12.7","",".","3.1","",".","17.2","1.7",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3748","3.706","64.4","17.7","8.2","2.6","1.7","0.4","0.5","1.4","",".","1.1","",".","1.3","0.4","0.1","0.1","."
