"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Intro Topics-Relig St-Soc St","201","001","19","3.088","21.1","5.3","36.8","21.1","5.3",".",".","5.3",".",".",".",".",".","5.3",".","."
"Islam Wrld:MidEast,500-1500","205","001","22","3.568","50.0","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Westrn Relig&Intellect Hist","208","001","31","3.268","19.4","19.4","41.9","9.7",".",".",".","6.5",".",".",".",".","3.2",".",".","."
"Introduction to Judaism","211","001","80","3.469","31.3","42.5","21.3","1.3","2.5","1.3",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","49","3.432","18.4","51.0","12.2","6.1","2.0",".",".","10.2",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","32","3.047","12.5","18.8","50.0","9.4","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","99","3.056","15.2","32.3","33.3","9.1","3.0","3.0","4.0",".",".",".",".",".",".",".",".","."
"The Medieval Church","312","001","27","3.510","40.7","29.6","22.2","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Christian Lit:Matthew-Revelatn","333","001","56","2.972","17.9","19.6","33.9","3.6","12.5","5.4","1.8","5.4",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","15","3.500","26.7","46.7","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","6","3.368","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Shamanism","352","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Confucianism","363","001","27","3.692","44.4","44.4","7.4",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Introduction to Buddhism","364","001","144","3.053","13.9","25.0","32.6","9.7","4.2","4.2","1.4","8.3",".",".",".",".",".","0.7",".","."
"Islam: Religion and Culture","370","001","42","3.329","28.6","35.7","21.4","4.8","4.8",".","2.4","2.4",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","11","3.000","9.1","18.2","36.4",".","18.2",".",".","9.1",".",".",".",".","9.1",".",".","."
"Intro-Religions of South Asia","416","001","23","3.525","13.0","65.2","8.7",".",".",".",".","8.7",".",".",".",".","4.3",".",".","."
"Religion-Ancient Mediterranean","517","001","8","2.875","25.0","12.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","25","3.720","60.0","32.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Jewish Law and Ethics","613","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies in Religions of Asia","620","001","8","3.571","12.5","75.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Sanskrit and Asian Cultures","625","001","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Philosophy of Religion","961","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
