"L&S","","","","","","","","","","","","","","","","","","","",""
"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Individual Research","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LCA
521","Dept. Total","","392","3.535","47.2","25.0","13.5","4.6","1.3","0.8","1.3","4.6",".",".",".",".","0.3","0.8","0.3","0.5"
