"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","47","3.128","14.9","23.4","38.3","19.1","4.3",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","","80","3.306","37.5","25.0","18.8","8.8","7.5",".","2.5",".",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mod Indian Lits in Translation","211","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","","35","3.200","31.4","28.6","22.9","5.7","2.9","5.7","2.9",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","","20","3.549","45.0","50.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","16","3.577","50.0","12.5","6.3","6.3","6.3",".",".","12.5",".",".",".",".","6.3",".",".","."
"Tolstoy in Translation","224","001","","16","3.618","75.0","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","","20","3.816","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"The World of Sagas","235","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran:20c Fr Mastrpieces","250","001","","34","3.672","52.9","26.5","11.8",".","2.9",".",".","2.9",".",".",".",".",".",".","2.9","."
"Lt Tran:Dante-Divine Comedy","253","001","","42","3.134","14.3","21.4","50.0","4.8","4.8","2.4",".",".",".",".",".",".",".","2.4",".","."
"Lit Tran: Modern Italy","254","001","","64","3.641","57.8","26.6","10.9","1.6","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","","46","3.120","32.6","19.6","19.6","17.4","4.3","2.2","4.3",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","52","3.163","25.0","28.8","23.1","11.5","7.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"","275","001","","97","3.223","13.4","42.3","25.8","9.3","6.2",".","1.0","2.1",".",".",".",".",".",".",".","."
"","275","002","","271","3.326","9.6","49.8","32.5","6.6","0.4",".",".","1.1",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","368","3.299","10.6","47.8","30.7","7.3","1.9",".","0.3","1.4",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","303","001","","31","3.258","22.6","38.7","22.6","12.9",".",".","3.2",".",".",".",".",".",".",".",".","."
"Lit in Transl-Isak Dinesen","334","001","","10","3.603","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"In Transl:Contemp Scand Lit","340","001","","13","3.927","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","","10","3.559","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Woman in Scand Lit","343","001","","15","3.433","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","347","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","","16","3.800","68.8","12.5","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","14","3.143","28.6","14.3","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
