"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","228
004","","15","3.598","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","68","3.558","44.1","39.7","8.8","2.9",".",".","2.9","1.5",".",".",".",".",".",".",".","."
"","271
001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","25","3.720","56.0","36.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","17","3.406","23.5","35.3","29.4","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","82","3.753","64.6","23.2","7.3","3.7",".",".",".","1.2",".",".",".",".",".",".",".","."
"3rd Sem French-Honors","283
001","","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","15","3.464","13.3","60.0","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","287
001","","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","287
002","","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","Course Total","","28","3.429","25.0","39.3","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","48","3.958","95.8","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","311
001","","18","3.582","55.6","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","","15","3.844","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","24","3.625","50.0","33.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","002
321","","26","3.601","46.2","26.9","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","50","3.613","48.0","30.0","20.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","001
322","","23","3.789","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","21","3.581","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","44","3.691","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","24","3.849","70.8","20.8","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","347
002","","19","3.672","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","43","3.769","62.8","23.3","11.6",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Lit-19th Century","432
001","","15","3.719","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"French Film","455
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","461
001","","19","3.856","68.4","26.3",".",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Undergrad Smr-Fr Civ&Cultr","532
001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-French Lit St","568
001","","10","3.441","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"French Phonetics","590
001","","17","3.500","29.4","35.3","17.6","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","10","3.444","20.0","40.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Le Roman Francais 1850-1900","636
001","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Francaise-XVIe Siecle","645
001","","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intro aux etudes francphone","665
001","","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.714","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","799
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
