"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Stdt Teach-Middle Schl Math","497
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","78","3.673","52.6","29.5","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","73","3.973","94.5","5.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","79","3.994","98.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","152","3.984","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Computn-Schools I","514
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre in Education","525
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","537
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
002","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
003","25","3.820","88.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Teaching Diverse Learners","Course Total","69","3.920","92.8","4.3","1.4",".",".","1.4",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","561
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
002","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","Course Total","44","3.955","93.2","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prob-Tchg Foreign Lang","001
564","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567
001","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","16","3.700","62.5","18.8","6.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Methods-Instructn w/Technol","600
001","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criticl Educ Pract-Internet","606
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and Literacy","632
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
002","22","3.746","50.0","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","Course Total","44","3.853","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning 2nd Lang & Literacies","673
001","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Adv Methods in Teaching ESL","674
001","12","3.667","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","675
001","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","9","",".",".",".",".",".",".",".","66.7","11.1",".",".",".","22.2",".",".","."
"","Section Total","68","4.000","86.8",".",".",".",".",".",".","8.8","1.5",".",".",".","2.9",".",".","."
"","675
002","6","",".",".",".",".",".",".",".","66.7","16.7",".",".",".","16.7",".",".","."
"","675
007","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
008","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
02","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","146","4.000","89.7",".",".",".",".",".",".","6.8","1.4",".",".",".","2.1",".",".","."
"Independent Field Work","690
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
