"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","","",""
"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","96","3.005","12.5","22.9","36.5","15.6","8.3","2.1","1.0",".","1.0",".",".",".",".",".",".","."
"","153","001","","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","153","002","","14","3.321","35.7","28.6","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","153","003","","15","3.167","13.3","20.0","60.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","","Course Total","","43","3.326","25.6","30.2","34.9","2.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","14","3.286","21.4","35.7","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","20","3.325","15.0","50.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","70","3.064","24.3","27.1","21.4","8.6","10.0","8.6",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","","33","3.409","21.2","48.5","24.2","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","17","3.500","41.2","29.4","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","15","3.400","13.3","53.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","002","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","002","","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","15","3.400","26.7","33.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","20","3.475","35.0","35.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","34","3.426","17.6","55.9","23.5",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","","13","3.063","23.1","15.4","30.8","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","42","3.085","19.0","16.7","42.9","9.5","7.1",".","2.4","2.4",".",".",".",".",".",".",".","."
"Apparel Design II","425","001","","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","","8","3.313","50.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","501","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","14","3.679","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","501","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","45","3.641","55.6","33.3","6.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Material Culture Analysis","512","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","26","3.385","23.1","46.2","19.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","601","015","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","","21","3.548","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Comparative World Costume","655","001","","15","3.233","40.0","6.7","40.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","","18","3.970","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
