"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","1","",".",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","100.0"
"Prof Yr 2","2","3.500","50.0",".","50.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","87","3.480","33.3","31.0","32.2",".","1.1","",".","1.1",".","",".",".","",".","",".","1.1",".",".","."
"Prof Yr 4","124","3.815","57.3","27.4","7.3",".",".","",".",".","8.1","",".",".","",".","",".",".",".",".","."
"Professionals","214","3.596","47.2","28.5","17.8",".","0.5","",".","0.5","4.7","",".",".","",".","",".","0.5",".",".","0.5"
