"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"697","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","559","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","3.845","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Adv Mass Media Practice","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Concep&Design-Mass Com Rsch","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Mass Communicatn Law&Policy","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Mass Communicatn&Individual","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","002","","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"880","003","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"880","135","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","34","3.920","88.2","5.9",".","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"901
Colloquium:Mass Communicatn","001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","26","",".",".",".",".",".",".",".","96.2",".",".",".",".",".",".","3.8","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research Prob","Course Total","","6","3.875","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
