"ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","",""
"401
Intro-Experimental Oncology","001","","47","3.523","51.1","8.5","27.7","4.3",".","2.1",".","6.4",".",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","20","3.275","30.0","10.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"675
Topics in Cancer Research","004","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Carcnognsis&Tumor Cell Biol","001","","32","3.629","59.4","3.1","34.4",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"990","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","95","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
