"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"102
Beginning Class Piano","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"103
Elementary Class Piano","002","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","8","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143","001","","14","3.885","71.4","21.4",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"143","002","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","Course Total","","26","3.800","69.2","19.2","3.8","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"147
First Year Composition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","23","3.477","47.8","21.7","21.7",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"201","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","006","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","269","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","270","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","271","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","35","3.757","60.0","31.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"223
Elem/Intmed Euphonium","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 267 of 399",""
