"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"","502","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","007","","8","3.875","75.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Wkshp-Ed Leadership & Pol Anal","","Course Total","","33","3.963","93.9",".","3.0",".",".",".",".",".",".",".",".",".",".",".",".","3.0"
"Field Experience-Ed Admin","700","043","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","21","3.725","57.1","28.6","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","17","3.656","41.2","41.2","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Program Develop-Cont Educ","730","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Staff Personnel Sys in Ed","785","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadershp & Coord-Cont&Tech Ed","811","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Technol in Cont & Higher Educ","814","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","7.7",".","7.7","."
"Legal Aspcts-El & Scndry Ed","840","001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841","001","","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leg Aspct-Spec Ed&Pupl Serv","842","001","","7","3.833","28.6","14.3",".",".",".",".",".","42.9",".",".",".",".","14.3",".",".","."
"The School Principalship","845","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","24","3.708","79.2","8.3","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Educ Policy Rsch Design","872","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","940","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"","940","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","008","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","39","3.986","89.7","2.6",".",".",".",".",".","2.6",".",".",".",".","5.1",".",".","."
"","990","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"","990","020","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
