"","990
013","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
016","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"Independent Study","999
010","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"DS
359","Dept. Total","774","3.419","37.2","29.7","21.1","5.4","4.0","1.2","0.4","0.9","0.1",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","95","3.153","18.9","26.3","35.8","10.5","5.3","3.2",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","108","3.114","17.6","29.6","31.5","6.5","13.0","0.9","0.9",".",".",".","",".","",".","",".",".",".","."
"Junior","","205","3.373","31.7","33.2","23.9","6.3","2.9","1.0","1.0",".",".",".","",".","",".","",".",".",".","."
"Senior","","315","3.572","48.3","29.5","14.6","3.8","1.9","1.0",".","0.6","0.3",".","",".","",".","",".",".",".","."
"Undergraduates","","723","3.391","35.1","30.2","22.5","5.8","4.3","1.2","0.4","0.3","0.1",".","",".","",".","",".",".",".","."
"Special","","3","3.500",".","66.7",".",".",".",".",".","33.3",".",".","",".","",".","",".",".",".","."
"Graduate","","48","3.883","70.8","20.8",".",".",".",".",".","8.3",".",".","",".","",".","",".",".",".","."
"","Dept. Total","774","3.419","37.2","29.7","21.1","5.4","4.0","1.2","0.4","0.9","0.1",".","",".","",".","",".",".",".","."
