"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","362
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
362","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
362","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","","57","3.921","87.7","8.8","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
364","","24","3.783","58.3","33.3","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","364
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
364","","27","3.923","85.2","7.4","3.7",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"Introduction to Education","Course Total","","75","3.904","81.3","13.3","2.7",".",".",".",".",".",".",".",".",".","1.3","1.3",".","."
"","367
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","001
368","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","72","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
003","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","72","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","26","3.788","73.1","19.2","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","22","3.864","95.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","003
370","","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","11","3.500","63.6",".","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","82","3.787","78.0","12.2","4.9","1.2","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"","371
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","72","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
372","","23","3.761","78.3","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","003
372","","24","3.813","83.3","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","72","3.813","77.8","12.5","6.9",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","71","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","375
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
