"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","808
003","11","3.788","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
004","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
005","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","46","3.810","63.0","30.4",".","2.2",".",".",".",".",".",".",".",".","2.2",".","2.2","."
"","815
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
002","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","32","3.972","53.1","3.1",".",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","64","3.576","42.2","21.9","28.1",".",".",".",".","7.8",".",".",".",".",".",".",".","."
"Russian Legal Process","819
001","11","3.556","36.4","27.3","9.1","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"Family Law I","822
001","15","3.615","40.0","26.7","20.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","827
001","11","3.857","54.5",".","9.1",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","827
002","44","3.676","45.5","13.6","18.2",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"International Law","Course Total","55","3.707","47.3","10.9","16.4",".",".",".",".","25.5",".",".",".",".",".",".",".","."
"","829
001","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","829
002","21","3.745","57.1","28.6","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Jurisprudence","Course Total","36","3.707","58.3","22.2","16.7",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Mod American Legal History","001
831","18","3.667","33.3","22.2","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","840
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxation II","Course Total","3","***","","","","","","","","","","","","","","","",""
"Pre-Trial Advocacy","001
849","31","3.435","32.3","29.0","32.3","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","850
001","37","3.333","32.4","29.7","21.6","8.1","2.7",".","2.7",".",".",".",".",".",".",".",".","2.7"
"","850
002","77","3.585","37.7","15.6","18.2","2.6","1.3",".",".","24.7",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","114","3.495","36.0","20.2","19.3","4.4","1.8",".","0.9","16.7",".",".",".",".",".",".",".","0.9"
"","002
852","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
852","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
004","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
005","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","61","3.683","31.1","4.9","13.1",".",".",".",".","50.8",".",".",".",".",".",".",".","."
"","854
001","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
854","16","3.653","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
004","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
009","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","854
010","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
011","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
013","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 327 of 399",""
