"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","20","3.526","15.0","70.0","10.0",".",".",".",".",".","5.0",".",".",".",".",".",".","."
"812","062","","18","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.235","5.9","47.1","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"812","064","","16","3.594","18.8","81.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","72","3.479","15.3","66.7","15.3",".","1.4",".",".",".","1.4",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"921
Gynecol Oncology Clerk-CSC","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inpt-Outpt Clerk-Marshfield","Course Total","","2","***","","","","","","","","","","","","","","","",""
"924
Reproduct Med Clerkshp-CSC","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
High Risk Obst Clrk-Meriter","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927
ObGyn Inpatnt Clrk-LaCrosse","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928
ObGyn Outptnt Clrk-LaCrosse","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","3.978","81.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
