"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"641
Il Seicento e l'Arcadia","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Il Duecento","001","","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"951
Smr-Studies in Italian Lit","001","","11","3.778","45.5","36.4",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"ITALIAN
508","Dept. Total","","714","3.435","41.2","23.9","21.4","6.0","3.4","0.6","0.4","2.0",".","0.1",".","0.6","0.3",".","0.1","."
