"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
170","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
170","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
170","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","8","3.125","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","170
007","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
170","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","108","3.583","47.2","27.8","24.1",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","66","2.773","24.2","18.2","12.1","18.2","13.6","7.6","6.1",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","100","2.450","3.0","5.0","26.0","41.0","13.0","9.0","3.0",".",".",".",".",".",".",".",".","."
"","270
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
270","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","69","3.819","75.4","21.7","1.4",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","271
001","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
271","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","58","3.741","53.4","41.4","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
001","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","305
002","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","23","3.630","47.8","39.1","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
313","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","39","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","66","2.823","16.7","16.7","33.3","12.1","9.1","4.5","6.1",".",".",".",".",".",".",".","1.5","."
"Transmission Lines-Digitl Appl","321
001","28","3.286","35.7","25.0","14.3","10.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","72","2.528","8.3","19.4","13.9","26.4","15.3","9.7","5.6","1.4",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","39","2.756","12.8","15.4","28.2","17.9","17.9","5.1","2.6",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","41","3.025","24.4","19.5","26.8","9.8","7.3","9.8",".","2.4",".",".",".",".",".",".",".","."
