"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","20","3.150","10.0","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100","002","19","3.395","31.6","31.6","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Topics Seminar","","Course Total","39","3.269","20.5","30.8","30.8","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","445","3.413","39.8","29.7","15.3","7.4","5.2","1.3","0.7","0.4",".",".",".",".",".",".","0.2","."
"","104","001","397","2.905","11.3","23.9","28.0","20.2","11.8","2.8","1.8","0.3",".",".",".",".",".",".",".","."
"","104","002","425","2.832","12.0","19.1","26.6","19.1","17.6","4.5","0.7",".",".",".",".",".",".","0.5",".","."
"Intro-Amer Politcs&Governmt","","Course Total","822","2.868","11.7","21.4","27.3","19.6","14.8","3.6","1.2","0.1",".",".",".",".",".","0.2",".","."
"Intro-Comparative Politics","106","001","351","3.164","23.6","29.6","22.8","11.7","9.1","2.3","0.9",".",".",".",".",".",".",".",".","."
"","205","001","127","3.056","19.7","28.3","15.0","20.5","11.8","0.8","1.6","1.6",".",".",".",".",".","0.8",".","."
"","205","002","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to State Government","","Course Total","134","3.099","23.1","26.9","14.9","19.4","11.2","0.7","1.5","1.5",".",".",".",".",".","0.7",".","."
"Intro to Political Theory","209","001","191","3.166","21.5","30.4","27.2","13.1","3.7","1.0","2.6","0.5",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","55","3.694","60.0","27.3","5.5",".","5.5",".",".","1.8",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","24","3.500","45.8","20.8","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","53","3.333","26.4","35.8","20.8","9.4","1.9",".","1.9","1.9",".",".",".",".",".",".",".","1.9"
"Political Choice and Strategy","274","001","35","2.632","8.6","17.1","25.7","14.3","20.0","8.6","2.9",".",".",".",".",".",".","2.9",".","."
"Africa: Introductory Survey","277","001","39","2.833","12.8","23.1","15.4","25.6","20.5",".","2.6",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","138","3.304","9.4","47.1","36.2","3.6","1.4",".",".",".",".",".",".",".","0.7","1.4",".","."
"Latin-Amer Intl Relations","331","001","56","3.500","42.9","35.7","10.7","7.1","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","138","3.005","13.8","23.9","31.2","15.9","10.1","1.4","1.4","2.2",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","53","3.009","24.5","13.2","18.9","30.2","11.3","1.9",".",".",".",".",".",".",".",".",".","."
"Globalizatn:State,Soc&Intl Sys","379","001","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","17","3.647","41.2","52.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","53","3.553","43.4","35.8","15.1","3.8",".","1.9",".",".",".",".",".",".",".",".",".","."
"","401","003","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","004","42","3.902","95.2",".",".",".",".",".","2.4","2.4",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","119","3.697","61.3","26.9","6.7","2.5",".","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","164","3.034","10.4","37.2","22.0","18.3","8.5","3.0","0.6",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","125","3.099","18.4","28.8","27.2","12.8","4.8","2.4","2.4","3.2",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","266","3.004","19.5","16.2","32.0","12.4","14.3","3.4",".","1.1",".",".",".",".",".","1.1",".","."
"American Judicial System","417","001","42","3.561","50.0","35.7","4.8","2.4",".","2.4","2.4",".",".",".",".",".",".","2.4",".","."
"Legislative Internship","427","001","21","3.500","19.0","66.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Campaign Finance","466","001","119","3.059","23.5","21.8","25.2","15.1","9.2","3.4","1.7",".",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","467","001","33","3.391","42.4","15.2","30.3","6.1",".",".","3.0","3.0",".",".",".",".",".",".",".","."
"The First Amendment","470","001","187","3.356","19.3","41.7","31.6","5.9","1.6",".",".",".",".",".",".",".",".",".",".","."
"Political Communications","479","001","46","3.054","21.7","19.6","39.1","8.7","4.3","2.2","4.3",".",".",".",".",".",".",".",".","."
"Ancient&Medvl West Thought","501","001","122","3.492","34.4","33.6","26.2","2.5","1.6",".",".","0.8",".",".",".",".","0.8",".",".","."
"Challenge of Democratizatn","505","001","20","3.600","40.0","45.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Feminist Political Theory","517","001","53","3.217","26.4","35.8","18.9","7.5","5.7","3.8","1.9",".",".",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","39","3.041","10.3","43.6","17.9","10.3","7.7",".","5.1","2.6",".",".",".",".",".","2.6",".","."
